NDB_No	Nutr_No	Flav_Val (mg Per 100g)
97077	738	104.96
97081	734	0
97081	735	0
97085	734	8.45
97085	735	6.56
97085	736	25.99
97085	737	29.31
97085	738	255.09
97088	734	0.44
97088	735	0.04
97089	734	0
97089	735	0
97089	736	0
97089	737	0
97089	738	0
99002	734	29.38
99007	734	0.35
99007	735	0.13
99007	736	0.38
99007	737	0
99007	738	3.5
99012	734	7.82
99012	735	6.75
99012	736	23.02
99012	737	26.5
99012	738	1265.98
99021	734	56.2
99021	735	51.62
99021	736	79.72
99021	737	33.93
99021	738	103.58
99037	734	5.1
99037	735	3.6
99037	736	11
99037	737	0
99037	738	24
99043	734	2.6
99044	734	2.11
99044	735	0.77
99044	736	5.54
99044	737	3.95
99044	738	32.6
99047	734	1.91
99047	735	1.28
99047	736	7.4
99047	737	7.32
99047	738	50.95
99050	734	0.24
99050	735	0
99055	734	0
99055	735	0
99055	736	0
99055	737	0
99055	738	0
99064	734	1.3
99064	735	0.48
99064	736	0
99064	737	0
99064	738	0
99065	734	0.55
99065	735	0.51
99065	736	0.55
99065	737	0.58
99065	738	0.15
99083	734	0.29
99083	735	0.11
99083	736	0.19
99083	737	0
99083	738	0
99110	735	0.15
99326	734	19.8
99326	735	18.6
99326	736	33.3
99326	737	0
99326	738	0.92
99335	734	2.8
99335	735	2.65
99335	736	5.75
99335	737	3.15
99335	738	281
99337	734	5.9
99337	735	6
99337	736	7.3
99337	737	0
99337	738	0
99339	734	35.9
99339	735	21.2
99339	736	32.5
99339	737	23.1
99339	738	57.7
99357	734	6.23
99357	735	8.9
99357	736	14.8
99357	737	7.33
99357	738	53.25
99399	734	1.74
99399	735	8
99403	734	1.9
99403	735	1
99403	736	0.47
99403	737	0
99403	738	0
99436	734	4.51
99436	735	0.82
99439	734	0.86
99439	735	0.01
99460	734	0
99460	735	0
99460	736	0
99460	737	0
99460	738	0
99616	734	20.2
99616	735	21.7
99616	736	46.1
99616	737	21
99616	738	44.6
99664	734	25.55
99664	735	24.32
99667	734	4.68
99667	735	2.63
99667	736	5.23
99667	737	1.11
99668	734	33.9
99668	735	14.2
99668	736	26.5
99668	737	7.6
99668	738	0
99671	734	0
99672	734	2.81
99672	735	0
99672	736	0
99672	737	0
99672	738	0
99673	734	0
99673	735	0
99673	736	0
99673	737	0
99673	738	0
99674	734	0
99674	735	0
99674	736	0
99674	737	0
99674	738	0
99675	734	24.2
99675	735	9.2
99675	736	77.7
99675	737	12.9
99675	738	404
99681	734	0
99681	735	0
99681	736	0
99681	737	0
99681	738	0
99682	734	3.37
99682	735	3.22
99682	736	22.89
99682	737	20.14
99682	738	37.41
